datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,generated_at_ept,area,area_load_forecast,actual_load,dispatch_rate
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,AEP,13462.00,13745.36,17.64
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,AP,5505.00,5783.08,17.59
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,ATSI,6845.00,6918.76,17.29
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,ComEd,10449.00,10776.40,17.37
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,DEOK,2739.00,2748.14,18.07
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,Dayton,1721.00,1750.54,0.00
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,Dom,10224.00,10625.24,18.42
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,Duq,1380.00,1413.75,17.23
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,EKPC,1551.00,1563.64,18.08
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,MidAtl,26898.00,27831.22,14.05
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,MidAtl - East,,,14.25
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,MidAtl - West,,,14.88
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,12/15/2019 8:00:40 AM,OVEC,,,17.66
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,AEP,13980.00,14331.04,18.05
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,AP,5765.00,6058.33,17.87
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7215.00,7245.92,17.77
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10881.00,11228.64,17.67
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2861.00,2875.44,18.45
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1797.00,1817.88,0.00
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,Dom,10672.00,11030.78,19.02
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,Duq,1446.00,1492.60,17.70
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1599.00,1618.12,18.44
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,28390.00,29340.66,13.56
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,13.94
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,15.21
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,17.96
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,AEP,14419.00,14834.35,19.96
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,AP,6007.00,6306.48,19.86
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7526.00,7519.97,19.56
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11135.00,11464.03,19.47
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2961.00,2985.65,20.41
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1869.00,1873.50,0.00
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Dom,11104.00,11406.01,21.48
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Duq,1502.00,1555.34,19.46
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1632.00,1676.90,20.37
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,29699.00,30568.77,13.75
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,14.20
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,16.26
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,19.88
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,AEP,14745.00,15053.60,20.76
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,AP,6171.00,6497.35,20.75
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7746.00,7678.61,20.49
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11298.00,11604.14,20.26
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3029.00,3050.46,21.25
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1918.00,1910.61,0.00
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Dom,11413.00,11562.63,22.14
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Duq,1543.00,1586.92,20.34
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1658.00,1711.57,21.20
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,30625.00,31234.61,15.83
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.06
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.19
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,20.67
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,AEP,14867.00,15170.24,19.89
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,AP,6258.00,6575.74,19.72
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7876.00,7823.20,19.87
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11411.00,11746.71,19.42
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3072.00,3092.18,20.33
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1955.00,1933.33,0.00
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Dom,11591.00,11647.46,20.79
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Duq,1568.00,1610.22,19.65
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1663.00,1714.08,20.28
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31165.00,31684.76,15.63
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.12
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.14
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,19.75
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,AEP,14976.00,15317.54,20.25
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,AP,6340.00,6588.42,19.92
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7991.00,8009.69,20.27
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11408.00,11765.46,19.74
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3111.00,3116.72,20.64
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1987.00,1958.66,0.00
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Dom,11658.00,11670.53,21.25
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Duq,1582.00,1631.54,20.03
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1666.00,1717.01,20.59
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31615.00,32042.94,15.54
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.08
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.76
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,20.08
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,AEP,14846.00,15283.92,21.32
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,AP,6371.00,6597.58,20.87
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,ATSI,8020.00,8020.29,21.38
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11012.00,11501.19,20.64
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3066.00,3088.20,21.95
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1963.00,1948.26,0.00
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Dom,11589.00,11608.16,22.05
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Duq,1577.00,1640.81,21.08
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1623.00,1660.14,21.83
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31708.00,32135.33,18.18
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,18.31
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,19.28
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,21.32
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,AEP,14216.00,14695.17,20.41
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,AP,6160.00,6327.87,20.15
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7663.00,7633.32,20.57
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10484.00,10977.09,19.67
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2922.00,2952.62,20.79
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1871.00,1864.12,0.00
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Dom,11097.00,10958.64,21.01
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Duq,1510.00,1564.29,20.33
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1548.00,1615.02,20.80
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,30520.00,30476.88,17.93
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,18.18
